date,product_id,quantity_sold,total_sales
18-06-2024 17:44,31772,1,183.57
18-06-2024 10:55,6740,1,143.39
17-06-2024 16:52,6175,6,1162.84
17-06-2024 13:06,6021,2,70.44
17-06-2024 11:04,6687,1,176.84
13-06-2024 20:21,6190,4,1076.95
13-06-2024 20:21,6184,1,1076.95
13-06-2024 18:54,6018,1,86.41
10-06-2024 13:54,6816,1,112.02
10-06-2024 13:17,6459,1,259.01
10-06-2024 09:50,6803,2,337.21
08-06-2024 06:52,23774,1,31.45
07-06-2024 20:06,6816,1,130.67
06-06-2024 20:32,6190,1,210.91
05-06-2024 14:36,6021,2,69.28
05-06-2024 11:29,6816,1,111.77
03-06-2024 16:10,6609,1,118.53
03-06-2024 11:19,6816,1,132.57
03-06-2024 09:57,6190,1,211.68
03-06-2024 05:09,6026,6,1110.57
03-06-2024 05:09,7277,6,1110.57
31-05-2024 17:28,6816,1,305.42
31-05-2024 17:28,6803,1,305.42
30-05-2024 14:36,6816,1,111.77
29-05-2024 15:10,6093,1,81.53
29-05-2024 11:00,6816,1,146.8
28-05-2024 18:56,6021,10,323.72
28-05-2024 11:00,6190,1,211.68
27-05-2024 16:42,6190,1,209.94
25-05-2024 19:03,23239,3,45.6
25-05-2024 19:03,23774,1,45.6
21-05-2024 17:42,6803,1,191.57
21-05-2024 15:14,6175,1,201.18
20-05-2024 15:44,6184,1,265.23
17-05-2024 15:36,6212,1,356.86
16-05-2024 16:33,6619,1,121.53
16-05-2024 15:38,6175,1,201.18
10-05-2024 20:44,6190,1,242.06
10-05-2024 20:44,6974,1,242.06
10-05-2024 16:14,6619,2,226.93
09-05-2024 15:25,6619,3,331.55
08-05-2024 11:11,6619,4,500.71
08-05-2024 08:02,6190,1,210.91
07-05-2024 19:35,6175,1,200.41
06-05-2024 22:04,6609,1,105.63
03-05-2024 08:30,6459,1,258.82
02-05-2024 12:39,6816,1,129.78
01-05-2024 13:02,6816,1,129.67
30-04-2024 16:41,6816,1,129.78
30-04-2024 15:38,6816,1,111.77
29-04-2024 13:26,6609,4,373.74
28-04-2024 19:44,6175,1,204.29
28-04-2024 12:25,6816,1,111.03
27-04-2024 09:33,6803,1,171.93
24-04-2024 15:20,31772,3,495.37
23-04-2024 14:57,6190,1,219.1
23-04-2024 14:07,6816,1,116.18
22-04-2024 11:05,6459,1,426.58
22-04-2024 11:05,31772,1,426.58
21-04-2024 12:12,6816,1,129.93
18-04-2024 19:41,6190,1,209.8
18-04-2024 17:07,6175,1,199.44
17-04-2024 15:33,6190,2,417.82
16-04-2024 15:10,6740,3,443.22
16-04-2024 15:10,6951,10,443.22
16-04-2024 03:27,6459,2,1544.26
12-04-2024 18:54,6184,1,264.1
12-04-2024 11:25,6016,20,1038.76
12-04-2024 08:46,6459,2,1545.66
11-04-2024 20:49,6816,1,112.42
10-04-2024 15:45,6175,1,277.33
10-04-2024 11:22,31772,2,336.26
09-04-2024 15:17,6459,2,500.3
08-04-2024 18:29,6175,1,201.9
08-04-2024 12:34,6591,1,302.26
05-04-2024 15:14,6803,2,330.42
03-04-2024 10:50,6016,5,222.69
02-04-2024 16:56,6021,10,303.52
02-04-2024 15:51,31772,1,193.22
02-04-2024 11:34,6740,2,248.06
01-04-2024 17:33,6026,2,323.45
01-04-2024 15:54,6184,1,342.13
31-03-2024 20:28,23774,1,36.9
31-03-2024 09:49,6175,1,216.08
30-03-2024 14:06,6609,1,106.38
29-03-2024 15:55,6609,1,106.22
28-03-2024 13:57,6459,1,774.83
28-03-2024 12:38,6591,1,302.4
28-03-2024 09:26,6803,2,422.35
28-03-2024 09:26,6816,1,422.35
28-03-2024 09:20,6816,3,426.64
27-03-2024 13:56,6190,1,211.58
27-03-2024 12:42,6803,2,367
27-03-2024 10:54,6816,2,207.4
26-03-2024 14:47,6175,1,206.44
26-03-2024 14:32,6816,1,113.83
25-03-2024 14:31,6803,1,191.27
22-03-2024 14:12,6459,2,563.74
21-03-2024 16:49,6609,1,107.17
21-03-2024 07:09,6609,4,374.14
18-03-2024 16:03,6790,1,560.84
16-03-2024 17:34,6190,1,201.35
16-03-2024 11:20,6740,1,127.92
15-03-2024 15:31,6816,1,125.92
15-03-2024 15:17,6016,1,57.95
14-03-2024 13:38,6803,1,164.85
14-03-2024 13:24,23239,8,42.04
13-03-2024 17:01,6951,1,23.04
13-03-2024 12:00,6959,2,133.4
13-03-2024 12:00,6816,1,133.4
12-03-2024 08:24,6687,2,289.06
11-03-2024 17:50,6175,1,193.2
10-03-2024 14:24,6184,1,252.14
07-03-2024 14:19,6021,3,101.08
07-03-2024 12:53,6816,4,378.38
07-03-2024 07:19,6021,10,275.3
05-03-2024 18:15,6609,1,102.92
05-03-2024 12:54,27075,1,377.2
05-03-2024 10:37,6459,2,1723.04
05-03-2024 09:46,6816,1,106.85
05-03-2024 09:43,6816,1,124.95
05-03-2024 08:01,31772,4,625.14
04-03-2024 08:00,6816,1,106.85
04-03-2024 00:03,6609,1,101.97
01-03-2024 13:10,6459,2,1931.68
01-03-2024 11:31,6797,2,478.99
01-03-2024 08:19,6175,1,193.38
29-02-2024 16:00,6816,1,125.92
29-02-2024 13:55,6816,1,107.92
29-02-2024 13:24,6184,1,346.59
